audio_id	path	book_id	曲名	全長	分布	季節	環境
3_17	db/日本野鳥大鑑3/17 ヒメクロアジサシ.wav	3	17 ヒメクロアジサシ	33.5㎝	南西諸島の石垣島など	旅鳥または夏鳥	離島
3_18	db/日本野鳥大鑑3/18 シロアジサシ.wav	3	18 シロアジサシ	27.5㎝	ほぼ全国	旅鳥	離島、内湾
3_19	db/日本野鳥大鑑3/19 ウミガラス.wav	3	19 ウミガラス	43.5㎝	北海道天売島、モユルリ島で繁殖。東北地方以北で越冬	留鳥または漂鳥	海上、離島
3_20	db/日本野鳥大鑑3/20 ハジブトウミガラス.wav	3	20 ハジブトウミガラス	43.5㎝	北日本	冬鳥	内湾、海岸
3_21	db/日本野鳥大鑑3/21 ケイマフリ.wav	3	21 ケイマフリ	37㎝	東北地方以北	留鳥または漂鳥	岩礁海岸、内湾など
3_22	db/日本野鳥大鑑3/22 カンムリウミスズメ.wav	3	22 カンムリウミスズメ	24㎝	日本近海	留鳥	離島
3_23	db/日本野鳥大鑑3/23 コウミスズメ.wav	3	23 コウミスズメ	15㎝	北日本	冬鳥	海上、内湾
3_24	db/日本野鳥大鑑3/24 ウトウ.wav	3	24 ウトウ	38㎝	北海道、東北地方の離島	留鳥または冬鳥	繁殖は離島、越冬は内湾など海上
3_25	db/日本野鳥大鑑3/25 カラスバト.wav	3	25 カラスバト	40㎝	本州南部の離島	留鳥	おもに離島、時に半島のよく茂った森林
3_26	db/日本野鳥大鑑3/26 シラコバト.wav	3	26 シラコバト	32.5㎝	埼玉県越谷市を中心に千葉県、茨城県、東京都の一部	留鳥	住宅地、公園、河川、農耕地、雑木林など
